石家庄市天马淀粉厂,tvsitet79,s130100%5C130132%2613013270074348-9
元氏县金鹏纸业有限责任公司,tvsitet80,s130100%5C130132%26130132723380019
元氏县槐阳污水处理厂,tvsitet81,s130100%5C130132%2613013277275409-9
石家庄力源生物蛋白有限公司,tvsitet82,s130100%5C130132%2613013279656128-3
河北澳鑫牧业有限公司,tvsitet83,s130100%5C130133%2613013369922165-8
河北赵州利民糖业集团有限公司,tvsitet84,s130100%5C130133%2613013370070669-6
河北兴柏药业集团有限公司,tvsitet85,s130100%5C130133%2613013370095454-2
赵县赵州热电有限公司,tvsitet86,s130100%5C130133%2613013374846022-6
河北华泰纸业有限公司,tvsitet87,s130100%5C130133%2613013375401653-5
赵县清源污水处理厂,tvsitet88,s130100%5C130133%2613013378258788-8
河北银发华鼎环保科技有限公司第一分公司,tvsitet89,s130100%5C130182%2613010169411801
石家庄金刚内燃机零部件集团有限公司,tvsitet90,s130100%5C130182%2613018210441198-X
石家庄东华金龙化工有限公司,tvsitet91,s130100%5C130182%2613018210468386-2
河北省藁城市化肥总厂,tvsitet92,s130100%5C130182%2613018210789192-3
河北吉藁化纤有限责任公司,tvsitet93,s130100%5C130182%2613018210789213-3
华北制药河北华民药业有限责任公司（倍达工厂）,tvsitet94,s130100%5C130182%2613018255446353-3
华北制药华胜有限公司,tvsitet95,s130100%5C130182%2613018260170261-4
中国石油化工股份有限公司石家庄炼化分公司,tvsitet96,s130100%5C130182%2613018267031040-3
石家庄良村热电有限公司,tvsitet97,s130100%5C130182%2613018267418404-5
藁城市中润纸业有限公司,tvsitet98,s130100%5C130182%2613018269588235-2
石家庄经济技术开发区污水处理厂,tvsitet99,s130100%5C130182%2613018270082729-5
藁城市水处理中心,tvsitet100,s130100%5C130182%2613018273141055-6
藁城天意热电有限公司,tvsitet101,s130100%5C130182%2613018274340289-5
河北双鸽美丹畜牧科技有限公司,tvsitet102,s130100%5C130183%2613018367735180-6
晋州市城市污水处理厂,tvsitet103,s130100%5C130183%2613018367994713-6
河北建投生物发电有限责任公司,tvsitet104,s130100%5C130183%2613018378406676-0
河北新化股份有限公司,tvsitet105,s130100%5C130184%2613018410795148-x
石家庄新乐东方热电有限公司,tvsitet106,s130100%5C130184%2613018460123669-2
河北金万泰化肥有限责任公司,tvsitet107,s130100%5C130184%2613018467993007-8
新乐市升美水净化有限公司,tvsitet108,s130100%5C130184%2613018474541213-0
鹿泉市远大工业公司,tvsitet109,s130100%5C130185%2613018510465550-3
鹿泉市曲寨热电厂,tvsitet110,s130100%5C130185%2613018567031335-6
河北华电石家庄鹿华热电有限公司,tvsitet111,s130100%5C130185%2613018567468690-x
石家庄西部上庄污水处理厂,tvsitet112,s130100%5C130185%2613018568277720-3
石家庄君乐宝乳业有限公司(原石家庄三鹿乳业有限公司),tvsitet113,s130100%5C130185%2613018572335448-6
石家庄君乐宝乐时乳业有限公司(原石家庄三鹿乐时乳业有限公司),tvsitet114,s130100%5C130185%2613018573293874-x
鹿泉市金隅鼎鑫水泥有限公司（鹿泉市东方鼎鑫水泥有限公司）,tvsitet115,s130100%5C130185%2613018574341579-2
鹿泉市污水处理厂,tvsitet116,s130100%5C130185%2613018574344817-2
鹿泉市曲寨水泥有限公司,tvsitet117,s130100%5C130185%2613018574543184-1
石家庄双联化工有限责任公司,tvsitet118,s130100%5C130185%2613018575403235-9
石家庄永盛乳业有限公司,tvsitet119,s130100%5C130185%2613018579135991-6
河北珠江啤酒有限公司,tvsitet120,s130100%5C130185%2613018579657918-4
唐山市丰润区立丰金属制品有限公司,tvsitet122,s130200%5C130201%26130201398944449
唐山市丰润区鸿翔金属制品有限公司,tvsitet123,s130200%5C130201%26130201556070039
唐山市丰润区昇泰金属表面处理有限公司,tvsitet124,s130200%5C130201%2613020158818759X
华润电力唐山丰润有限公司,tvsitet125,s130200%5C130201%2613020163394043
唐山市路北区韩城污水处理有限公司,tvsitet126,s130200%5C130201%26130201682788447
唐山首钢京唐西山焦化有限责任公司,tvsitet127,s130200%5C130201%2613020169755634X
唐山市丰丰冷轧带钢有限公司,tvsitet128,s130200%5C130201%26130201728835692
唐山市丰润区顺德冷轧带钢厂,tvsitet129,s130200%5C130201%26130201754021684
唐山市丰润区金源精密铸件厂,tvsitet130,s130200%5C130201%26130201765191371
唐山市鸿丰高频焊管厂,tvsitet131,s130200%5C130201%26130201779192260
唐山恒天然牧场有限公司,tvsitet132,s130200%5C130201%26130265130265XC000102
唐山钢铁集团有限责任公司(南区),tvsitet133,s130200%5C130203%2613020310479282-3
唐山城市排水有限公司西郊污水处理二厂,tvsitet134,s130200%5C130203%2613020370062377-8(01)
唐山城市排水有限公司北郊污水处理厂,tvsitet135,s130200%5C130203%2613020370062377-8(02)
河北大唐国际唐山热电有限责任公司,tvsitet136,s130200%5C130203%2613020373738495-0
唐山冀东启新水泥有限责任公司,tvsitet137,s130200%5C130204%261302011
唐山市宏伟炼焦制气有限公司,tvsitet138,s130200%5C130204%2613020115646
河北永顺实业集团有限公司,tvsitet139,s130200%5C130204%261302012
唐山市荣义炼焦制气有限公司,tvsitet140,s130200%5C130204%261302014
唐山市汇丰炼焦制气有限公司,tvsitet141,s130200%5C130204%2613020143
开滦协鑫发电有限公司,tvsitet142,s130200%5C130204%2613020172066391
唐山风帆宏文蓄电池有限公司,tvsitet143,s130200%5C130204%26130201765765
唐山宏文冷轧不锈钢有限公司,tvsitet144,s130200%5C130204%26130201796559706
开滦能源化工股份有限公司范各庄矿业分公司,tvsitet145,s130200%5C130204%2613020460104425-2
唐山冀东水泥三友有限公司,tvsitet146,s130200%5C130204%2613020460112973-1
唐山城市排水有限公司古冶运营分公司,tvsitet147,s130200%5C130204%2613020470062377-8
唐山六九水泥有限公司,tvsitet148,s130200%5C130204%2613020470072574-X
唐山开滦热电有限责任公司林电分公司,tvsitet149,s130200%5C130204%2613020473291236-3(03)
唐山市春兴特种钢有限公司,tvsitet150,s130200%5C130204%2613020475026626-2
唐山宏源污水处理有限责任公司,tvsitet151,s130200%5C130204%26130204752439809
唐山不锈钢有限责任公司,tvsitet152,s130200%5C130204%2613020475403655-2
唐山国义特种钢铁有限公司,tvsitet153,s130200%5C130204%2613020477917040-8
唐山开滦东方发电有限责任公司,tvsitet154,s130200%5C130204%2613020478572288-9
唐山市燕南水泥有限公司,tvsitet155,s130200%5C130204%2613020491130200700726128-x
唐山钢铁集团有限责任公司（北区）,tvsitet156,s130200%5C130205%2613020510479282-3(03)
唐山钢源冶金炉料有限公司,tvsitet157,s130200%5C130205%2613020579136053-8
河北唐银钢铁有限公司,tvsitet158,s130200%5C130205%2613020579416372-4
大唐国际发电股份有限公司陡河发电厂,tvsitet159,s130200%5C130205%2613020580479180-5
河北银水实业集团有限公司,tvsitet160,s130200%5C130205%26130205911302007554865000
唐山城市排水有限公司东郊污水处理厂,tvsitet161,s130200%5C130205%26130205E1213260-0
唐山贝氏体钢铁集团顺兴钢铁有限公司,tvsitet162,s130200%5C130207%2613020153
唐山市丰南区群利金属制品有限公司,tvsitet163,s130200%5C130207%2613020154353
唐山国丰第一冷轧镀锌技术有限公司,tvsitet164,s130200%5C130207%26130201662214833
唐山正元管业有限公司,tvsitet165,s130200%5C130207%26130201695862458
百威英博唐山啤酒有限公司,tvsitet166,s130200%5C130207%26130201743434117
唐山洁城能源有限公司,tvsitet167,s130200%5C130207%26130201752407233
开滦集团有限责任公司钱家营矿业分公司,tvsitet168,s130200%5C130207%26130201804988069
唐山惠达集团洁具有限公司,tvsitet169,s130200%5C130207%261302019879987
唐山瑞丰钢铁（集团）粤丰钢铁有限公司,tvsitet170,s130200%5C130207%2613020710500506-x
唐山市丰南区第二中水厂,tvsitet171,s130200%5C130207%26130207130207J0-0(02)
唐山市丰南区凯恒钢铁有限公司(原唐山瑞丰钢铁（集团）金友钢铁有限公司),tvsitet172,s130200%5C130207%2613020755334770-9
唐山国丰钢铁有限公司,tvsitet173,s130200%5C130207%2613020760107404-8
唐山市丰南区钱家营煤矸石综合利用发电有限公司,tvsitet174,s130200%5C130207%2613020760128746-5
唐山东华钢铁企业集团有限公司,tvsitet175,s130200%5C130207%2613020768926517-1
唐山市丰南区城南污水处理有限公司,tvsitet176,s130200%5C130207%2613020768929532X
唐山市清泉钢铁集团有限责任公司,tvsitet177,s130200%5C130207%2613020771833972-4
唐山市丰南区经安钢铁有限公司,tvsitet178,s130200%5C130207%2613020774151488-5
唐山贝氏体钢铁(集团)福丰钢铁有限公司,tvsitet179,s130200%5C130207%2613020774153299-5
唐山瑞丰钢铁(集团)有限公司,tvsitet180,s130200%5C130207%2613020774542029-6
唐山北阳洗煤炼焦有限公司,tvsitet181,s130200%5C130207%2613020775027722-8
唐山市丰南区利源污水处理有限公司,tvsitet182,s130200%5C130207%2613020775401142-7
唐山榕丰钢铁有限公司,tvsitet183,s130200%5C130207%2613020775402859-5
唐山达丰焦化有限公司,tvsitet184,s130200%5C130207%2613020776031422-1
唐山达丰焦化有限公司（废气）,tvsitet185,s130200%5C130207%2613020776031422-1-1
唐山市丰南区群利钢铁炉料有限公司,tvsitet186,s130200%5C130207%2613020777132412-6
唐山丰南宏烨炉料有限公司,tvsitet187,s130200%5C130207%2613020778570740-0
唐山市丰南区瑞源污水处理有限公司,tvsitet188,s130200%5C130207%2613020791130282590978884E
唐山轨道客车有限责任公司,tvsitet189,s130200%5C130208%26130201663688766
河北圣雪大成唐山制药有限责任公司,tvsitet190,s130200%5C130208%26130201741535256
唐山冀东水泥股份有限公司,tvsitet191,s130200%5C130208%2613020810436450-3
唐山钢铁集团有限责任公司炼焦制气厂,tvsitet192,s130200%5C130208%26130208104792823
唐山燕东水泥股份有限公司,tvsitet193,s130200%5C130208%2613020856046534-0
开滦（集团）有限责任公司东欢坨矿业分公司,tvsitet194,s130200%5C130208%2613020860104568-5
冀东水泥丰润有限责任公司,tvsitet195,s130200%5C130208%2613020866907151-3
河北津西钢铁集团正达钢铁有限公司,tvsitet196,s130200%5C130208%2613020868278502-7
河北大唐国际丰润热电有限责任公司,tvsitet197,s130200%5C130208%2613020868572451-0
唐山泓泰水泥有限公司,tvsitet198,s130200%5C130208%2613020869346545-9
唐山飞龙水泥有限责任公司,tvsitet199,s130200%5C130208%2613020869757117-9
唐山新宝泰钢铁有限公司,tvsitet200,s130200%5C130208%2613020869921325-2
唐山城市排水有限公司丰润污水处理厂,tvsitet201,s130200%5C130208%2613020870062377-8(03)
唐山市冀东溶剂有限公司,tvsitet202,s130200%5C130208%2613020871838898-0
河北天柱钢铁集团有限公司,tvsitet203,s130200%5C130208%2613020876341602-0
唐山城市排水有限公司曹妃甸区运营分公司生态城厂,tvsitet204,s130200%5C130209%2613020968823090302
唐山首钢京唐西山焦化有限责任公司（危废）,tvsitet205,s130200%5C130209%2613020969755634-X
华润电力（唐山曹妃甸）有限公司,tvsitet206,s130200%5C130209%2613020976981781-0
首钢京唐钢铁联合有限责任公司,tvsitet207,s130200%5C130209%2613020978083712-6
唐山城市排水有限公司曹妃甸区运营分公司,tvsitet208,s130200%5C130209%26130230688230903
中国石油天然气股份有限公司冀东油田分公司,tvsitet209,s130200%5C130209%26130230721614029
唐山北极熊建材有限公司,tvsitet210,s130200%5C130223%26130201321
河北曙光强兴水泥有限公司,tvsitet211,s130200%5C130223%2613020187978
唐钢美锦（唐山）煤化工有限公司,tvsitet212,s130200%5C130223%2613022305267770-X
滦县城东水务运营有限责任公司,tvsitet213,s130200%5C130223%2613022356737950-9
滦县国创炼焦制气有限公司,tvsitet214,s130200%5C130223%2613022356739962-2
唐山市冀滦纸业有限公司,tvsitet215,s130200%5C130223%2613022360109742-6
滦县金马工业有限公司,tvsitet216,s130200%5C130223%2613022368820912-7
河北东海特钢集团有限公司,tvsitet217,s130200%5C130223%2613022369469787-6
冀东水泥滦县有限责任公司,tvsitet218,s130200%5C130223%2613022374154863-9
唐山安泰钢铁有限公司,tvsitet219,s130200%5C130223%2613022374541061-0
唐山兴隆钢铁有限公司,tvsitet220,s130200%5C130223%2613022374543163-0
唐山东海钢铁集团有限公司,tvsitet221,s130200%5C130223%2613022375029288-2
河北钢铁集团滦县司家营铁矿有限公司,tvsitet222,s130200%5C130223%2613022375754043-9
滦南县清源污水处理有限公司,tvsitet223,s130200%5C130224%2613022455334578-9
唐山万浦热电有限公司,tvsitet224,s130200%5C130224%2613022460107864-7
唐山耀东水泥有限公司,tvsitet225,s130200%5C130224%2613022466905949-3
河北钢铁集团华西钢铁有限公司,tvsitet226,s130200%5C130224%2613022474340560-7
天津荣程集团唐山特种钢有限公司,tvsitet227,s130200%5C130224%2613022475244398-x
河北永新纸业有限公司,tvsitet228,s130200%5C130224%2613022475548164-X
唐山东方炼焦制气有限公司,tvsitet229,s130200%5C130224%2613022476206642-8
乐亭县污水处理厂,tvsitet230,s130200%5C130225%2613020167546
厦门水务乐亭城建投资有限公司（河北乐亭经济开发区污水处理厂）,tvsitet231,s130200%5C130225%2613022559359965-2
唐山市德龙钢铁有限公司,tvsitet232,s130200%5C130225%2613022572160958-8
乐亭县张氏纸业有限公司,tvsitet233,s130200%5C130225%2613022572169214-X
乐亭县奥翔木糖醇有限公司,tvsitet234,s130200%5C130225%2613022574151218-5
唐山中厚板材有限公司,tvsitet235,s130200%5C130225%2613022576661455-9
河北津西钢铁集团特钢有限公司,tvsitet236,s130200%5C130227%26130201432
河北津西钢铁集团股份有限公司,tvsitet237,s130200%5C130227%2613022772161097-6
唐山旭成水质净化有限公司,tvsitet238,s130200%5C130227%2613022777771622-7
唐山弘也水泥有限公司,tvsitet239,s130200%5C130229%2613020109
唐山市玉田建邦实业有限公司,tvsitet240,s130200%5C130229%261302014321
河北昌泰纸业有限公司,tvsitet241,s130200%5C130229%26130201560475338
玉田县星冠特种水泥有限责任公司,tvsitet242,s130200%5C130229%261302017
唐山中再生资源开发有限公司,tvsitet243,s130200%5C130229%2613020187686
玉田县宏达造纸厂,tvsitet244,s130200%5C130229%2613022910519363-8
恒天然（玉田）牧场有限公司,tvsitet245,s130200%5C130229%2613022956617513-3
玉田县顺发实业有限公司,tvsitet246,s130200%5C130229%2613022966222080-3
玉田县绿源污水处理有限责任公司,tvsitet247,s130200%5C130229%2613022966224954-2
玉田县古玉煤焦化工有限公司,tvsitet248,s130200%5C130229%2613022967737911-2
玉田县宏利染整厂,tvsitet249,s130200%5C130229%2613022970085881-7
唐山域银水业有限公司,tvsitet250,s130200%5C130229%2613022975402206-2
玉田县大众宝来纸业有限公司,tvsitet251,s130200%5C130229%2613022975893330-6
玉田县昌荣纸业有限公司,tvsitet252,s130200%5C130229%2613022978256782-8
玉田县金螺纸业有限公司,tvsitet253,s130200%5C130229%2613022978867827-0
玉田县富兴纸业有限责任公司,tvsitet254,s130200%5C130229%2613022979547005-6
玉田县四通纸业有限公司,tvsitet255,s130200%5C130229%2613022979658925-1
唐山中浩化工有限公司,tvsitet256,s130200%5C130261%26130201557676315
唐山国丰第二冷轧镀锌技术有限公司,tvsitet257,s130200%5C130261%261302016754
唐山佳华煤化工有限公司,tvsitet258,s130200%5C130261%2613026175549584-9
唐山市通宝焦化有限公司,tvsitet259,s130200%5C130261%2613026176031948-7
唐山海港开发区污水处理有限公司,tvsitet260,s130200%5C130261%2613026177278883-8
河北大唐国际王滩发电有限责任公司,tvsitet261,s130200%5C130261%2613026178407394-4
唐山中润煤化工有限公司,tvsitet262,s130200%5C130261%2613026179841585-3
唐山三友化工股份有限公司,tvsitet263,s130200%5C130263%26130201212
唐山三友远达纤维有限公司,tvsitet264,s130200%5C130263%26130201657
唐山三友碱业（集团）有限公司,tvsitet265,s130200%5C130263%2613026310479317-2(XX)
唐山三友集团兴达化纤有限公司,tvsitet266,s130200%5C130263%2613026360111885-6
唐山市南堡经济技术开发区污水处理厂,tvsitet267,s130200%5C130263%2613026360123898-9
唐山三友硅业有限责任公司,tvsitet268,s130200%5C130263%2613026366905770-3
唐山三友热电有限责任公司,tvsitet269,s130200%5C130263%2613026377770162-3
唐山大通金属制品有限公司,tvsitet270,s130200%5C130264%2613020190789
唐山建龙实业有限公司,tvsitet271,s130200%5C130281%2613028160125085-7(01)
遵化国祯污水处理有限公司,tvsitet272,s130200%5C130281%2613028168430574-4
唐山港陆钢铁有限公司,tvsitet273,s130200%5C130281%2613028173560299-3
唐山建龙简舟钢铁有限公司,tvsitet274,s130200%5C130281%2613028174543529-5(01)
唐山港陆焦化有限公司,tvsitet275,s130200%5C130281%2613028175242773-6
迁安市志诚润滑油有限公司,tvsitet276,s130200%5C130283%261302011231456
迁安市四通纸业有限公司,tvsitet277,s130200%5C130283%26130201755452873
唐山宝利源炼焦有限公司,tvsitet278,s130200%5C130283%2613028370079255-5
河北迁安化肥股份有限公司,tvsitet279,s130200%5C130283%2613028370079268-6
唐山松汀钢铁有限公司（原河北钢铁集团松汀钢铁有限公司）,tvsitet280,s130200%5C130283%2613028371580418-4
迁安市华控环境投资有限责任公司,tvsitet281,s130200%5C130283%2613028371834485-7
唐山市蓝海实业有限公司,tvsitet282,s130200%5C130283%2613028372882014-0
迁安恒晖热电有限公司(原迁安胜科热电有限公司),tvsitet283,s130200%5C130283%2613028373142687-3
河北钢铁集团荣信钢铁有限公司,tvsitet284,s130200%5C130283%2613028373737597-4
唐山燕山钢铁有限公司,tvsitet285,s130200%5C130283%2613028374018783-5
迁安市宏奥工贸有限公司,tvsitet286,s130200%5C130283%2613028374151275-9
迁安市九江线材有限责任公司,tvsitet287,s130200%5C130283%2613028374153578-2
河北鑫达钢铁有限公司,tvsitet288,s130200%5C130283%2613028374342364-5
迁安轧一钢铁集团有限公司(津安),tvsitet289,s130200%5C130283%2613028374342988-7
河北省首钢迁安钢铁有限责任公司,tvsitet290,s130200%5C130283%2613028374686800-9
迁安中化煤化工有限责任公司,tvsitet291,s130200%5C130283%2613028375242038-2
迁安市津唐球墨铸管有限公司,tvsitet292,s130200%5C130283%2613028375545737-5
迁安轧一钢铁集团有限公司,tvsitet293,s130200%5C130283%2613028376812822-0
河北京东管业有限公司,tvsitet294,s130200%5C130283%2613028377131419-8
迁安市九江煤炭储运有限公司,tvsitet295,s130200%5C130283%2613028377133637-0
河北大唐国际迁安热电有限责任公司(原迁安大唐热电有限责任公司),tvsitet296,s130200%5C130283%2613028378257606-2
迁安市成达精密铸造有限公司,tvsitet297,s130200%5C130283%2613028379841856-0
首钢矿业公司（烧结厂）,tvsitet298,s130200%5C130283%2613028380511817-X(07)
首钢矿业公司球团厂,tvsitet299,s130200%5C130283%2613028380511817-X(08)
秦皇岛天宝资源再生环保科技有限公司,tvsitet301,s130300%5C130301%26130301585421248
中节能（秦皇岛）环保能源有限公司,tvsitet302,s130300%5C130301%26130301674691645
昌黎县兴国精密机件有限公司,tvsitet303,s130300%5C130301%26130301676023560
秦皇岛开发区泰盛水务有限公司九号污水厂,tvsitet304,s130300%5C130301%26130301795468175（05）
秦皇岛耀华玻璃工业园有限责任公司,tvsitet305,s130300%5C130302%2613030210001396-8
秦皇岛北方玻璃集团有限公司,tvsitet306,s130300%5C130302%2613030223599471-6
秦皇岛市第一污水处理厂,tvsitet307,s130300%5C130302%2613030240181768-7
秦皇岛中石油燃料沥青有限责任公司,tvsitet308,s130300%5C130302%2613030260127513-0
秦皇岛发电有限责任公司,tvsitet309,s130300%5C130302%2613030270061141-9
奥科宁克（秦皇岛）铝业有限公司,tvsitet310,s130300%5C130302%2613030271785889-9
秦皇岛市第三污水处理厂,tvsitet311,s130300%5C130302%2613030272880348-x
国中（秦皇岛）污水处理有限公司,tvsitet312,s130300%5C130302%2613030274541062-9
秦皇岛秦热发电有限责任公司,tvsitet313,s130300%5C130302%2613030274848668-8
秦皇岛三益工业固体废料处理有限公司,tvsitet314,s130300%5C130303%2613030356324328-4
中冶秦皇岛水务有限公司,tvsitet315,s130300%5C130303%2613030366656336-0
秦皇岛首秦龙汇矿业有限公司,tvsitet316,s130300%5C130321%2613032167600444-X
青龙满族自治县满源污水处理有限公司,tvsitet317,s130300%5C130321%2613032168702936-x
昌黎冀东水泥有限公司,tvsitet318,s130300%5C130322%2613032206702355-7
秦皇岛鹏远淀粉有限公司,tvsitet319,s130300%5C130322%2613032210543849-8
秦皇岛碧水源环境科技有限公司,tvsitet320,s130300%5C130322%2613032258968195-2
秦皇岛安丰钢铁有限公司,tvsitet321,s130300%5C130322%2613032260118676-0
秦皇岛宏兴钢铁有限公司,tvsitet322,s130300%5C130322%2613032273437992-9
秦皇岛顺先钢铁有限公司,tvsitet323,s130300%5C130322%2613032275545128-0
秦皇岛索坤玻璃容器有限公司,tvsitet324,s130300%5C130322%2613032275890487-1
国水（昌黎）污水处理有限公司,tvsitet325,s130300%5C130322%2613032276206940-x
秦皇岛首钢长白结晶器有限责任公司,tvsitet326,s130300%5C130323%2613030171317919-4
抚宁县绿源城乡基础设施建设投资有限公司留守营污水处理分公司,tvsitet327,s130300%5C130323%2613032307081974-0
秦皇岛市前韩纸业有限公司,tvsitet328,s130300%5C130323%2613032310546110-2
秦皇岛市抚宁徐山口危险物品处理站,tvsitet329,s130300%5C130323%2613032356047285-8
秦皇岛排水有限责任公司第二污水处理厂,tvsitet330,s130300%5C130323%2613032356618999-X
秦皇岛方圆包装玻璃有限公司,tvsitet331,s130300%5C130323%2613032358361580-7
秦皇岛浅野水泥有限公司,tvsitet332,s130300%5C130323%2613032360110754-0
秦皇岛市抚宁县丰满板纸有限公司,tvsitet333,s130300%5C130323%2613032360125615-9
