GIL,51325,51325.0,1.0,44.415
GRT.UN,10978,10978.0,1.0,54.475
GSC,115,115.0,1.0,3.87
GTE,111733,111733.0,1.0,3.635
GUD,25383,25383.0,1.0,8.575
GUY,34778,34778.0,1.0,1.415
GWO,6683,6683.0,1.0,29.91
H,152326,152326.0,1.0,19.785
HBM,36785,36785.0,1.0,7.265
HCG,20882,20882.0,1.0,17.665
HEXO,10481,10481.0,1.0,5.815
HOT.UN,200,200.0,1.0,6.705
HR.UN,105736,105736.0,1.0,20.84
HRX,500,500.0,1.0,14.13
HSE,232018,232018.0,1.0,16.845
IAG,9492,9492.0,1.0,48.0
IFP,9887,9887.0,1.0,15.28
IGM,7492,7492.0,1.0,34.705
IIP.UN,30039,30039.0,1.0,12.955
IMG,107455,107455.0,1.0,4.185
IMO,23476,23476.0,1.0,38.015
INE,24635,24635.0,1.0,12.525
ITP,9914,9914.0,1.0,17.0
IVN,94508,94508.0,1.0,2.825
K,497399,497399.0,1.0,3.725
KBL,64,64.0,1.0,35.375
KEL,34548,34548.0,1.0,4.525
KEY,72937,72937.0,1.0,28.975
KML,26015,26015.0,1.0,15.505
KMP.UN,22253,22253.0,1.0,16.29
KXS,10892,10892.0,1.0,74.03
L,22436,22436.0,1.0,61.41
LAS.A,12,12.0,1.0,203.505
LB,9595,9595.0,1.0,41.315
LGO,13404,13404.0,1.0,3.745
LIF,14097,14097.0,1.0,26.83
LUC,69036,69036.0,1.0,1.825
LUN,273384,273384.0,1.0,6.415
MAG,19238,19238.0,1.0,8.975
MAXR,13402,13402.0,1.0,21.855
MBN,500,500.0,1.0,6.655
MEG,35669,35669.0,1.0,8.595
MFC,359778,359778.0,1.0,21.955
MFI,16854,16854.0,1.0,29.23
MG,18763,18763.0,1.0,66.97
MI.UN,500,500.0,1.0,19.085
MIC,5147,5147.0,1.0,43.69
MRE,12230,12230.0,1.0,11.055
MRU,16071,16071.0,1.0,45.68
MSI,13495,13495.0,1.0,26.365
MTL,19603,19603.0,1.0,12.355
MTY,5068,5068.0,1.0,65.675
MX,20782,20782.0,1.0,75.545
NA,107215,107215.0,1.0,60.235
NEPT,101,101.0,1.0,4.335
NFI,12249,12249.0,1.0,37.32
NG,51379,51379.0,1.0,4.965
NGD,120893,120893.0,1.0,1.025
NOA,100,100.0,1.0,12.785
NPI,23615,23615.0,1.0,22.57
NSU,66693,66693.0,1.0,5.965
NTR,5534,5534.0,1.0,69.035
NVA,64686,64686.0,1.0,3.965
NVU.UN,14572,14572.0,1.0,26.065
NWC,9585,9585.0,1.0,29.205
NWH.UN,11891,11891.0,1.0,10.375
NXE,63273,63273.0,1.0,2.905
OGC,123041,123041.0,1.0,3.835
ONEX,4764,4764.0,1.0,81.54
OR,26885,26885.0,1.0,9.975
OSB,10237,10237.0,1.0,37.025
OTEX,57128,57128.0,1.0,45.655
PAAS,20101,20101.0,1.0,17.505
PBH,9468,9468.0,1.0,79.16
PD,60842,60842.0,1.0,3.105
PEY,41590,41590.0,1.0,10.215
PG,100,100.0,1.0,1.495
PKI,37859,37859.0,1.0,38.19
PLZ.UN,500,500.0,1.0,4.095
POU,15354,15354.0,1.0,7.855
POW,39624,39624.0,1.0,26.015
PPL,121881,121881.0,1.0,45.085
PSI,16950,16950.0,1.0,19.66
PSK,6373,6373.0,1.0,17.95
PVG,45087,45087.0,1.0,9.355
PWF,83336,83336.0,1.0,27.495
PXT,34560,34560.0,1.0,16.705
QBR.B,34510,34510.0,1.0,28.355
QSR,56899,56899.0,1.0,75.76
QTRH,100,100.0,1.0,1.415
RAY.A,200,200.0,1.0,7.68
RBA,23475,23475.0,1.0,45.535
RCH,15425,15425.0,1.0,25.31
RCI.B,10383,10383.0,1.0,70.88
REI.UN,146208,146208.0,1.0,24.455
RNW,21983,21983.0,1.0,11.155
RSI,3083,3083.0,1.0,5.735
RUS,16112,16112.0,1.0,23.11
RY,310897,310897.0,1.0,97.115
SAP,38936,38936.0,1.0,40.425
SCL,15138,15138.0,1.0,20.11
SEA,500,500.0,1.0,15.72
SES,36666,36666.0,1.0,7.075
SGY,5445,5445.0,1.0,1.635
SHOP,21118,21118.0,1.0,207.095
SIA,15324,15324.0,1.0,16.68
SII,500,500.0,1.0,2.795
SIS,1432,1432.0,1.0,13.71
SJ,12369,12369.0,1.0,39.635
SJR.B,55763,55763.0,1.0,24.865
SLF,103934,103934.0,1.0,48.915
SMF,34953,34953.0,1.0,2.425
SMT,25,25.0,1.0,3.035
SMU.UN,5754,5754.0,1.0,9.285
SNC,28447,28447.0,1.0,48.545
