地球最后的夜晚,毕赣,6.0,6.9,7.6,7.8,6.1,毕赣,6.0,6.9,7.6,7.8,6.1,0,0,0,0,0,0,汤唯,6.0,6.9,6.4,6.0,6.1,黄觉,6.9,4.8,0,0,0,张艾嘉,5.3,6.9,5.9,0,0,剧情/爱情/悬疑,中国大陆 / 法国,贵州方言 / 汉语普通话,2018-05-15,138,125899,205328,6.9
无敌破坏王2：大闹互联网,菲尔·约翰斯顿,8.1,9.2,7.3,5.8,0,菲尔·约翰斯顿,8.1,9.2,7.3,5.8,0,帕米拉·里本,8.1,6.3,7.5,8.8,7.5,约翰·C·赖利,3.9,8.1,7.7,7.7,7.1,萨拉·西尔弗曼,8.1,6.7,0,0,0,盖尔·加朵,8.1,9.2,6.5,7.1,6.1,喜剧/动画/奇幻/冒险,美国,英语,2018-11-21,112,172484,197110,8.1
我不是药神,文牧野,6.0,9.0,5.6,7.0,0,韩家女,8.1,9.0,0,0,0,钟伟,9.0,6.5,0,0,0,徐峥,6.4,7.4,7.1,4.5,0,王传君,9.0,3.8,4.1,7.7,7.2,周一围,5.6,3.7,9.0,3.7,6.8,剧情/喜剧,中国大陆,汉语普通话 / 英语 / 上海话 / 印地语,2018-06-30,117,1020909,857541,9.0
海王,温子仁,7.7,5.9,6.1,0,0,大卫·莱斯利·约翰逊-麦戈德里克,7.7,5.1,7.7,8.1,0,威尔·比尔,7.7,7.2,5.5,6.5,0,杰森·莫玛,7.2,7.7,5.9,0,0,艾梅柏·希尔德,7.7,5.4,6.5,0,0,威廉·达福,7.7,6.0,6.0,0,0,动作/奇幻/冒险,美国 / 澳大利亚,英语 / 毛利语 / 意大利语 / 俄语,2018-12-07,143,464281,359319,7.7
西虹市首富,闫非,6.5,7.5,0,0,0,闫非,6.5,7.5,0,0,0,彭大魔,6.5,7.5,0,0,0,沈腾,7.0,6.4,4.6,6.5,4.9,宋芸桦,6.5,3.7,6.3,6.5,6.8,张一鸣,6.5,6.6,0,0,0,喜剧,中国大陆,汉语普通话,2018-07-27,118,581494,439153,6.5
蚁人2：黄蜂女现身,佩顿·里德,7.3,7.6,6.3,0,0,克里斯·麦克纳,7.3,6.9,8.0,9.3,0,埃里克·萨默斯,7.3,6.9,7.4,8.0,7.2,保罗·路德,7.3,7.3,4.8,6.3,5.6,伊万杰琳·莉莉,7.3,5.4,7.6,8.3,8.3,迈克尔·佩纳,7.9,9.1,5.8,5.8,7.3,动作/科幻/冒险,美国,英语,2018-07-06,118,287129,506851,7.3
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂,8.7,8.1,0,0,0,菲尔·罗德,7.2,8.7,6.8,7.1,6.8,罗德尼·罗斯曼,8.7,6.8,7.3,7.1,6.8,沙梅克·摩尔,8.7,9.3,7.1,0,0,杰克·约翰逊,8.7,6.6,7.1,6.8,0,海莉·斯坦菲尔德,7.1,8.7,5.9,7.7,0,动作/科幻/动画/冒险,美国,英语 / 西班牙语,2018-12-14,116,216003,223195,8.7
宠儿,欧格斯·兰斯莫斯,7.4,6.7,7.6,6.0,6.4,德博拉·戴维斯,7.4,0,0,0,0,托尼·麦克纳马拉,7.4,6.3,0,0,0,奥利维娅·科尔曼,8.3,8.4,7.4,0,0,艾玛·斯通,8.3,7.4,6.7,0,0,蕾切尔·薇兹,7.4,6.6,6.8,6.3,0,剧情/喜剧/传记/同性,爱尔兰 / 英国 / 美国,英语,2018-08-30,119,21190,37108,7.4
死侍2：我爱我家,大卫·雷奇,7.3,8.9,7.2,8.3,0,瑞特·里斯,7.3,6.5,8.3,7.7,6.6,保罗·韦尼克,7.3,6.5,7.7,6.6,6.4,瑞恩·雷诺兹,7.3,8.9,0,0,0,乔什·布洛林,6.7,7.3,8.1,5.8,0,朱利安·迪尼森,7.3,8.1,6.3,0,0,喜剧/动作/科幻/冒险,美国,英语,2018-05-18,119,236464,169614,7.3
邪不压正,姜文,7.0,7.3,6.4,6.6,0,姜文,7.0,7.3,6.4,6.6,0,何冀平,7.0,6.9,6.7,4.3,0,彭于晏,7.0,5.1,6.9,6.7,4.9,廖凡,7.0,6.6,7.6,4.9,0,姜文,7.0,7.3,6.4,6.6,0,剧情/喜剧/动作,中国大陆,汉语普通话 / 英语 / 日语 / 法语,2018-07-13,137,424439,257522,7.0
