企业名称,宣讲地点,宣讲时间,宣讲场地
石屏县人民医院,昆明医科大学,2019-01-15,昆明医科大学经管办学点第二教学楼405
长治学院,西南林业大学,2019-01-15,第二教学楼310
东华理工大学,昆明理工大学,2019-01-10,呈贡校区学生事务中心505B会议室
昆明医科大学第五附属医院/红河州滇南中心医院/个旧市人民医院,昆明医科大学,2019-01-08,经管办学点 第二教学楼214教室
绵阳奇安信科技有限公司,昆明理工大学,2019-01-03,呈贡校区信自楼617
佛山维尚家具制造有限公司,西南林业大学,2019-01-02,设计楼204
重庆国翰能源发展有限公司,昆明理工大学,2018-12-29,呈贡校区西北区教学楼B栋101
昆明五华金诺补习学校,西南林业大学,2018-12-28,新校区就业创业实训基地一楼报告厅
云南象万千教育信息咨询有限公司,云南师范大学文理学院,2018-12-28,招聘室（三号公寓超市旁）
湖南新青麦教育文化发展有限公司,云南民族大学,2018-12-28,广智院A-208
玉溪市第三人民医院,昆明医科大学,2018-12-28,昆明医科大学经管办学点第二教学楼407
浙江寻绿农业发展有限公司,西南林业大学,2018-12-27,A520
昆明链策房地产经纪有限公司,云南财经职业学院,2018-12-27,勤奋院115
成都经典蓝图科技有限公司云南分公司,大理大学,2018-12-27,古城校区 第二教学楼101教室
湖南新青麦教育文化发展有限公司,云南师范大学文理学院,2018-12-27,招聘室（三号公寓超市旁）
屏边苗族自治县林业局,西南林业大学,2018-12-27,林学楼511
屏边苗族自治县林业局,西南林业大学,2018-12-27,林学楼511
通号工程局集团建设工程有限公司,西南林业大学,2018-12-27,土木楼306
玉溪市红塔区卫生和计划生育局,昆明医科大学,2018-12-27,经管办学点 第二教学楼214教室
智库苑（北京）教育科技研究院,云南民族大学,2018-12-26,广智院B-108
昆明市西山家家乐培训学校,云南民族大学,2018-12-26,广智院A-216
云南湄公河集团有限公司,云南民族大学,2018-12-26,广智院A-210
中国林业科学研究院热带林业实验中心,西南林业大学,2018-12-26,林学楼511
深圳市雏鹰教育投资发展有限公司,西南林业大学,2018-12-26,第三教学楼207多媒体教室
贵州黔西南金元新能源有限公司,昆明理工大学,2018-12-26,呈贡校区西北区教学楼B栋101
兴业证券股份有限公司云南分公司,云南财经大学,2018-12-25,学生服务大厅
河南万正远洋船舶管理有限公司,西南林业大学,2018-12-25,第一教学楼347
贵州盘江电投天能焦化有限公司,昆明理工大学,2018-12-25,呈贡校区化工楼二楼100报告厅
中国人寿保险股份有限公司昆明分公司,云南民族大学,2018-12-25,广智院A-214
云南庄庆科技有限公司,云南民族大学,2018-12-25,广智院A-210
中国人寿保险股份有限公司昆明分公司,云南民族大学,2018-12-25,广智院B-108
北京华戎生物激素厂,西南林业大学,2018-12-25,新校区就业创业实训基地一楼报告厅
北京华戎生物激素厂,西南林业大学,2018-12-25,新校区就业创业实训基地一楼报告厅
北京中公教育科技股份有限公司云南分公司,云南财经大学,2018-12-24,学生服务大厅
云南克洛普锁业有限公司,昆明理工大学,2018-12-21,呈贡校区西北区教学楼B栋101
昆明雪兰牛奶有限责任公司,云南民族大学,2018-12-21,广智院A-208
昆明娇雅化妆品有限公司,云南民族大学,2018-12-21,广智院A-210
昆明市西山家家乐培训学校,昆明理工大学,2018-12-20,呈贡校区西北区教学楼B栋101
昆明沃可农生物科技有限公司,西南林业大学,2018-12-20,A520
上海碧甫照明工程设计有限公司,西南林业大学,2018-12-20,设计楼204
昆明恒颖地产有限公司,云南大学滇池学院,2018-12-19,三号学思楼409多媒体教室
华瑞教育科技有限公司,云南农业大学,2018-12-19,逸夫楼B203（周三）
云南爱必达园艺科技有限公司,云南农业大学,2018-12-19,逸夫楼B区205(周三）
中国人寿保险股份有限公司云南分公司直属营销二部,云南师范大学文理学院,2018-12-19,招聘室（三号公寓超市旁）
云南普华山鹰企业管理咨询有限公司,云南民族大学,2018-12-19,广智院A-214
昆明灿谷汽车信息咨询服务有限公司,云南民族大学,2018-12-19,广智院A-210
红河哈尼族彝族自治州卫生和计划生育委员会,昆明医科大学,2018-12-19,经管办学点 第二教学楼214教室
开远市人民医院,昆明医科大学,2018-12-18,经管办学点 第二教学楼214教室
开远市人民医院,昆明医科大学,2018-12-18,经管办学点 第二教学楼214教室
昆明统一企业食品有限公司,西南林业大学,2018-12-18,第三教学楼114多媒体教室
云南金浔电子商务股份有限公司,西南林业大学,2018-12-18,三教301教室
云南黄金矿业集团股份有限公司,西南林业大学,2018-12-18,第三教学楼301多媒体教室
