企业名称,宣讲地点,宣讲时间,宣讲场地
云南普华山鹰企业管理咨询有限公司,云南财经大学,2018-12-18,凌媒南502
四川海底捞餐饮股份有限公司,云南财经大学,2018-12-18,学生服务大厅
云南博尔科技有限公司,云南财经大学,2018-12-18,学生服务大厅
柯坪县教育和科学技术局,云南师范大学文理学院,2018-12-17,招聘室（三号公寓超市旁）
云南博尔科技有限公司,云南民族大学,2018-12-17,广智院B-108
个旧市交通运输局,昆明理工大学,2018-12-16,呈贡校区西北区教学楼B栋101
上海龙胜实业有限公司,昆明理工大学,2018-12-14,呈贡校区信自楼617
阿瓦提县教育和科学技术局,云南师范大学文理学院,2018-12-14,招聘室（三号公寓超市旁）
信永中和会计师事务所（特殊普通合伙）昆明分所,云南财经大学,2018-12-14,学生服务大厅
江西正邦作物保护有限公司,西南林业大学,2018-12-14,
昆明市盘龙区云华实验中学,昆明理工大学,2018-12-14,呈贡校区西北区教学楼B栋101
重庆诚邦路面材料有限公司,昆明理工大学,2018-12-14,呈贡校区化工楼二楼100报告厅
重庆诚邦路面材料有限公司,昆明理工大学,2018-12-14,呈贡校区化工楼二楼100报告厅
金贸链商业保理有限公司,西南林业大学,2018-12-14,文政楼301
中国水利水电第十四工程局有限公司,昆明理工大学,2018-12-14,新迎校区明虹楼报告厅
湖南文理学院,昆明理工大学,2018-12-14,呈贡校区西北区教学楼B栋101
咸亨国际科技股份有限公司,云南财经大学,2018-12-13,学生服务大厅
中国人寿保险股份有限公司昆明分公司,云南财经大学,2018-12-13,学生服务大厅
云南省通信产业服务有限公司,昆明理工大学,2018-12-13,呈贡校区西北区教学楼B栋104
深圳市鑫荣懋农产品股份有限公司,昆明理工大学,2018-12-13,呈贡校区西北区教学楼B栋105
云南聚和航空服务有限公司,云南师范大学文理学院,2018-12-13,招聘室（三号公寓超市旁）
昆明正大有限公司,昆明理工大学,2018-12-13,呈贡校区生科楼A200
贵阳中医学院,昆明理工大学,2018-12-13,呈贡校区生科楼A303
云南国融智创科技产业园管理有限公司,昆明理工大学,2018-12-13,呈贡校区西北区教学楼B栋101
咸亨国际科技股份有限公司,云南民族大学,2018-12-13,广智院B-216
红塔期货有限责任公司,云南财经大学,2018-12-12,学生服务大厅
咸亨国际科技股份有限公司,昆明理工大学,2018-12-12,呈贡校区西北区教学楼B栋102
咸亨国际科技股份有限公司,云南农业大学,2018-12-12,逸夫楼B区307（周三）
咸亨国际科技股份有限公司,云南农业大学,2018-12-12,逸夫楼B区307（周三）
云南太丰电子产品有限公司,大理大学,2018-12-12,古城校区一教123（五大）教室
广东杰士农业科技有限公司,云南农业大学,2018-12-12,逸夫楼B区205(周三）
昆明沃可农生物科技有限公司,云南农业大学,2018-12-12,逸夫楼B区403（周三）
昆明兰禾春农业科技有限公司,云南农业大学,2018-12-12,逸夫楼B203（周三）
广州万孚生物技术股份有限公司,云南农业大学,2018-12-12,逸夫楼B区305（周三）
浙江我武生物科技股份有限公司,云南农业大学,2018-12-12,尚农楼3-9
桂林理工大学,昆明理工大学,2018-12-12,呈贡校区西北区教学楼B栋104
昆明南疆制药有限公司,昆明理工大学,2018-12-12,呈贡校区西北区教学楼B栋101（135-150人）
云南芭纳曼服饰有限公司,云南民族大学,2018-12-12,广智院A-216
中国人寿保险股份有限公司云南分公司直属营销二部,云南师范大学文理学院,2018-12-12,招聘室（三号公寓超市旁）
富康城控股（云南）有限公司,昆明理工大学,2018-12-11,呈贡校区西北区教学楼B栋101
北京华图宏阳教育文化发展股份有限公司云南分公司,云南大学滇池学院,2018-12-11,三号学思楼409多媒体教室
昆明正大有限公司,西南林业大学,2018-12-11,经管楼101会议室
昆明星火教育信息咨询有限公司,昆明理工大学,2018-12-11,呈贡校区西北区教学楼B栋105
浙江我武生物科技股份有限公司,西南林业大学,2018-12-11,经管楼101会议室
浙江我武生物科技股份有限公司,西南林业大学,2018-12-11,经管楼101会议室
中天东方氟硅材料有限公司,昆明理工大学,2018-12-11,呈贡校区西北区教学楼B栋101
北京中公教育科技股份有限公司云南分公司,昆明理工大学,2018-12-11,呈贡校区西北区教学楼B栋102
昆明吉兴达房地产开发有限公司,云南民族大学,2018-12-11,广智院A-109
玉溪市江川区卫生和计划生育局,昆明医科大学,2018-12-11,昆明医科大学经管办学点第二教学楼407
中天东方氟硅材料有限公司,西南林业大学,2018-12-10,新校区就业创业实训基地一楼报告厅
四川新绿色药业科技发展有限公司,云南民族大学,2018-12-10,广智院B-114
水木日语教育科技（深圳）有限公司,云南民族大学,2018-12-10,广智院B-503
拜城县教育局,云南民族大学,2018-12-10,广智院B-108
山东电力建设第三工程有限公司,昆明理工大学,2018-12-10,呈贡校区西北区教学楼B栋101
上海梦百合家居科技有限公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-1
百世物流科技（中国）有限公司云南分公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-2
昆明市家家乐教育培训学校有限责任公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-3
深圳市鑫荣懋农产品股份有限公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-4
昆明试竞成教育信息咨询有限公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-5
一汽红塔云南汽车制造有限公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-6
一汽红塔云南汽车制造有限公司,西南林业大学,2018-12-08,2018年12月8日双选会宣讲场地-6
梦天木门集团有限公司,西南林业大学,2018-12-08,新校区就业创业实训基地一楼报告厅
昆明市盘龙区心霖公社教育培训中心,云南财经大学,2018-12-07,学生服务大厅
九江学院,昆明理工大学,2018-12-07,呈贡校区西北区教学楼B栋104
云南滇灵科技有限公司,昆明理工大学,2018-12-07,呈贡校区西北区教学楼B栋102
四川新绿色药业科技发展有限公司,昆明理工大学,2018-12-07,呈贡校区西北区教学楼B栋101
深圳市雏鹰教育投资发展有限公司,昆明理工大学,2018-12-07,理学楼206
昆明克林轻工机械,昆明理工大学,2018-12-07,呈贡校区机电楼100报告厅
庆来学校,昆明理工大学,2018-12-07,呈贡校区西北区教学楼B栋104
扬子江药业集团有限公司,昆明理工大学,2018-12-06,呈贡校区生科楼A200
云南中冠餐饮有限公司,云南交通职业技术学院,2018-12-06,实验楼215-1
云南比欧尚商贸有限公司,云南交通职业技术学院,2018-12-06,实验楼215-1
中船黄埔文冲船舶有限公司,昆明理工大学,2018-12-06,呈贡校区信自楼617
清远市钛美铝业有限公司,昆明理工大学,2018-12-06,莲华校区主楼812
拜城县教育局,云南师范大学文理学院,2018-12-06,招聘室（三号公寓超市旁）
世硕电子（昆山）有限公司,昆明理工大学,2018-12-06,呈贡校区西北区教学楼B栋101
世硕电子（昆山）有限公司,昆明理工大学,2018-12-06,呈贡校区西北区教学楼B栋101
浙江仙琚制药股份有限公司,昆明理工大学,2018-12-05,呈贡校区生科楼A200
保山华大智慧农业科技股份有限公司,云南农业大学,2018-12-05,逸夫楼B区501（周三）
北京东软望海科技有限公司,西南林业大学,2018-12-05,经管楼303会议室
昆明市西山家家乐培训学校,云南农业大学,2018-12-05,逸夫楼B203（周三）
昆明利之源养殖有限责任公司,西南林业大学,2018-12-05,经管楼101
昆明市西山家家乐培训学校,昆明理工大学,2018-12-05,莲华校区主楼812
深圳市麦积电子科技有限公司,昆明理工大学,2018-12-05,呈贡校区西北区教学楼B栋101
贵州天义电器有限责任公司,昆明理工大学,2018-12-05,呈贡校区信自楼617
云南尚途科技有限公司,云南民族大学,2018-12-05,广智院A-210
云南周峰生物科技有限公司,云南民族大学,2018-12-05,广智院A-108
周大生珠宝股份有限公司,昆明理工大学,2018-12-05,新迎校区明虹楼报告厅
武汉市汉阳市政建设集团公司,昆明理工大学,2018-12-05,呈贡校区建工楼315
昆明市盘龙区心霖公社教育培训中心,云南民族大学,2018-12-04,博雅院B-102
启迪（柳州）数字教育有限公司,昆明理工大学,2018-12-04,呈贡校区西北区教学楼B栋101
库车县教育局,云南师范大学文理学院,2018-12-04,招聘室（三号公寓超市旁）
库车县教育局,云南师范大学文理学院,2018-12-04,招聘室（三号公寓超市旁）
昆明登文城市花园餐饮管理有限公司,云南交通职业技术学院,2018-12-04,实验楼215-1
库车县教育局,昆明理工大学,2018-12-04,呈贡校区西北区教学楼B栋102
昆明市盘龙区心霖公社教育培训中心,昆明理工大学,2018-12-04,呈贡校区西北区教学楼B栋101
库车县教育局,云南大学滇池学院,2018-12-04,三号学思楼409多媒体教室
中信大锰矿业有限责任公司,昆明理工大学,2018-12-04,莲华校区国土资源工程学院第一会议室
昆明伦航商贸有限公司,西南林业大学,2018-12-03,新校区就业创业实训基地一楼报告厅
中信大锰矿业有限责任公司,昆明理工大学,2018-12-03,呈贡校区西北区教学楼B栋101
昆明市盘龙区心霖公社教育培训中心,西南林业大学,2018-12-03,第二教学楼Bj2-1
云南绿宝香精香料股份有限公司,西南林业大学,2018-12-03,新校区就业创业实训基地一楼报告厅
云南中工信融信息技术有限公司,云南民族大学,2018-12-03,广智院B-108
西藏拉萨市人民医院,昆明医科大学,2018-12-03,昆明医科大学经管办学点综合楼402
周大生珠宝股份有限公司,云南民族大学,2018-12-03,广智院B-108
永贵能源开发有限责任公司,昆明理工大学,2018-12-03,呈贡校区中心区教学楼101
成都长杰科技有限公司,昆明理工大学,2018-12-01,莲华校区冶能楼110教室
云南国能煤电有限公司,云南农业大学,2018-11-30,逸夫楼B区404（周五）
云南国能煤电有限公司,云南农业大学,2018-11-30,逸夫楼B区404（周五）
云南锡业集团（控股）有限责任公司,昆明理工大学,2018-11-30,莲华校区基础楼200
云南中工信融信息技术有限公司,昆明理工大学,2018-11-30,新迎校区润泽楼101
贵阳铝镁设计研究院有限公司,昆明理工大学,2018-11-30,呈贡校区西北区教学楼B栋101
昆明智兆汽车服务有限公司,昆明理工大学,2018-11-30,呈贡校区西北区教学楼B栋104
中化云龙有限公司,昆明理工大学,2018-11-30,呈贡校区化工楼二楼100报告厅
苏州金螳螂建筑装饰股份有限公司,昆明理工大学,2018-11-30,呈贡校区中心区教学楼101
江西赣能股份有限公司丰城二期发电厂,昆明理工大学,2018-11-30,呈贡校区西北区教学楼B栋101
股家（北京）科技有限公司,昆明理工大学,2018-11-30,呈贡校区西北区教学楼B栋105
云南红星美凯龙家居生活广场有限公司,西南林业大学,2018-11-29,新校区就业创业实训基地一楼报告厅
昆明海略谷商贸有限公司,昆明理工大学,2018-11-29,莲华校区管经楼509
成都经典蓝图科技有限公司云南分公司,云南大学滇池学院,2018-11-29,三号学思楼409多媒体教室
青岛鼎信通讯消防安全有限公司,西南林业大学,2018-11-29,新校区就业创业实训基地一楼报告厅
东北证券股份有限公司昆明安康路证券营业部,西南林业大学,2018-11-29,第三教学楼204多媒体教室
云南北大资源产业园区开发有限公司,昆明理工大学,2018-11-29,呈贡校区西北区教学楼B栋102
重庆诚业建筑工程有限公司,昆明理工大学,2018-11-29,新迎校区润泽楼104
重庆诚业建筑工程有限公司,昆明理工大学,2018-11-29,新迎校区润泽楼104
昆明漓源饲料有限公司,昆明理工大学,2018-11-29,呈贡校区西北区教学楼B栋104
深圳市神舟电脑股份有限公司,昆明理工大学,2018-11-29,呈贡校区西北区教学楼B栋101
广东广青金属科技有限公司,昆明理工大学,2018-11-29,新迎校区明虹楼报告厅
云南得仁凡思教育科技有限公司,云南民族大学,2018-11-29,广智院B-216
深圳市未来人教育投资有限公司,云南民族大学,2018-11-29,广智院B-313
四川睿道知识产权服务有限公司云南分公司,云南大学滇池学院,2018-11-29,三号学思楼409多媒体教室
弥勒市住房和城乡建设局,昆明理工大学,2018-11-29,呈贡校区建工楼315
云南腾云信息产业有限公司,昆明理工大学,2018-11-28,呈贡校区西北区教学楼B栋104
深圳市中金岭南科技有限公司,昆明理工大学,2018-11-28,莲华校区主楼815
昆明新正东阳建筑工程设计有限公司,昆明理工大学,2018-11-28,呈贡校区建工楼315
宁波三江益农化学有限公司,云南农业大学,2018-11-28,逸夫楼B203（周三）
四川海底捞餐饮股份有限公司,云南农业大学,2018-11-28,逸夫楼B区305（周三）
麦特绘谱生物科技（上海）有限公司,云南农业大学,2018-11-28,逸夫楼B区205(周三）
开源证券股份有限公司云南分公司,云南财经大学,2018-11-28,学生服务大厅
北京千喜鹤餐饮管理有限公司,云南农业大学,2018-11-28,逸夫楼B区307（周三）
北京千喜鹤餐饮管理有限公司,云南农业大学,2018-11-28,逸夫楼B区307（周三）
云南沃尔玛百货有限公司,云南农业大学,2018-11-28,逸夫楼B区305（周三）
成都万科物业服务有限公司昆明分公司,昆明理工大学,2018-11-28,莲华校区管经楼406教室
平安普惠投资咨询有限公司昆明北京路分公司,西南林业大学,2018-11-28,第三教学楼314多媒体教室
重庆博腾制药科技股份有限公司,昆明理工大学,2018-11-28,呈贡校区化工楼二楼100报告厅
云南十次方大数据技术服务有限公司,昆明理工大学,2018-11-28,呈贡校区西北区教学楼B栋102
云南腾云信息产业有限公司,云南财经大学,2018-11-27,学生服务大厅
深圳学而思教育科技有限公司,昆明理工大学,2018-11-27,呈贡校区西北区教学楼B栋101
北京萤光文化传播有限公司,云南大学滇池学院,2018-11-27,三号学思楼409多媒体教室
昆明市单山调味食品有限公司,云南大学滇池学院,2018-11-27,三号学思楼409多媒体教室
厦门佰翔酒店集团有限公司,云南财经大学,2018-11-27,学生服务大厅
昆明新正东阳建筑工程设计有限公司,昆明理工大学,2018-11-27,新迎校区明虹楼报告厅
宝钢湛江钢铁有限公司,昆明理工大学,2018-11-27,呈贡校区西北区教学楼B栋101
昆明居立方装饰设计工程有限公司,云南民族大学,2018-11-27,广智院A-109
厦门佰翔酒店集团有限公司,昆明理工大学,2018-11-27,新迎校区明虹楼报告厅
云南尚途科技有限公司,昆明理工大学,2018-11-27,呈贡校区西北区教学楼B栋102
云南尚途科技有限公司,昆明理工大学,2018-11-27,呈贡校区西北区教学楼B栋102
中国建筑第七工程局有限公司西南分公司,云南财经大学,2018-11-27,学生服务大厅
广州永新包装有限公司,西南林业大学,2018-11-26,新校区就业创业实训基地一楼报告厅
厦门佰翔酒店集团有限公司,云南师范大学文理学院,2018-11-26,招聘室（三号公寓超市旁）
恒天中岩投资管理有限公司昆明分公司,云南财经大学,2018-11-26,学生服务大厅
上海热风时尚企业发展有限公司,昆明理工大学,2018-11-26,呈贡校区西北区教学楼B栋102
上海五圣教育投资有限公司,云南民族大学,2018-11-26,广智院B-515
上海鼎尚餐饮有限公司,云南民族大学,2018-11-26,广智院B-503
昆明影恩服饰有限公司,昆明理工大学,2018-11-26,新迎校区明虹楼报告厅
云南华航教育投资有限公司,昆明理工大学,2018-11-25,呈贡校区西北区教学楼B栋102
深圳万旗服饰有限公司,昆明理工大学,2018-11-25,呈贡校区西北区教学楼B栋101
沙雅县教育局,昆明理工大学,2018-11-24,呈贡校区西北区教学楼B栋101
四川海底捞餐饮股份有限公司,西南林业大学,2018-11-23,新校区就业创业实训基地一楼报告厅
成都经典蓝图科技有限公司云南分公司,昆明理工大学,2018-11-23,呈贡校区信自楼617
海南易点通教育咨询有限公司,云南农业大学,2018-11-23,逸夫楼B区404（周五）
云南腾药制药股份有限公司,昆明理工大学津桥学院,2018-11-23,221教室
云南腾药制药股份有限公司,昆明理工大学津桥学院,2018-11-23,221教室
中国市政工程华北设计研究总院有限公司昆明分公司,昆明理工大学,2018-11-23,呈贡校区西北区教学楼B栋101
丝艾产品标识（深圳）有限公司,昆明理工大学,2018-11-23,呈贡校区机电楼100报告厅
昆明居立方装饰设计工程有限公司,昆明理工大学,2018-11-23,呈贡校区西北区教学楼B栋102
广东世纪青山镍业有限公司,昆明理工大学,2018-11-23,呈贡校区西北区教学楼B栋104
福建东龙针纺有限公司,云南民族大学,2018-11-23,广智院A-114
江苏国泰亿达实业有限公司,云南民族大学,2018-11-23,广智院A-208
云南轩特建材有限公司,云南大学滇池学院,2018-11-23,三号学思楼409多媒体教室
昭通市中医医院,昆明医科大学,2018-11-23,呈贡校区学生会堂209室
六盘水市外国语学校,云南民族大学,2018-11-23,广智院A-411
丝艾产品标识（深圳）有限公司,西南林业大学,2018-11-22,新校区就业创业实训基地一楼报告厅
海南易点通教育咨询有限公司,昆明理工大学,2018-11-22,呈贡校区西北区教学楼B栋101
紫杉建筑设计股份有限公司,昆明理工大学,2018-11-22,呈贡校区建工楼315
昆明赛琳教育信息咨询有限公司,云南师范大学文理学院,2018-11-22,招聘室（三号公寓超市旁）
兴业证券股份有限公司云南分公司,昆明理工大学,2018-11-22,莲华校区管经楼406教室
云南腾旭市政工程设计有限公司,昆明理工大学,2018-11-22,呈贡校区建工楼315
云南腾旭市政工程设计有限公司,昆明理工大学,2018-11-22,呈贡校区建工楼315
安康学院,云南财经大学,2018-11-22,学生服务大厅
派罗特克（深圳）高温材料有限公司,昆明理工大学,2018-11-22,莲华校区主楼302
云南智墨企业管理有限公司,云南交通职业技术学院,2018-11-22,实验楼312
昆明市五华区书丸子教育培训中心,昆明理工大学,2018-11-22,呈贡校区西北区教学楼B栋104
盐城市联鑫钢铁有限公司,昆明理工大学,2018-11-22,呈贡校区西北区教学楼B栋101
江苏科信医药销售有限公司,昆明理工大学,2018-11-22,呈贡校区生科楼A200
昆明新城亿晟房地产开发有限公司,昆明理工大学,2018-11-22,呈贡校区西北区教学楼B栋102
卡达克机动车质量检验中心（云南）有限公司,昆明理工大学,2018-11-22,呈贡校区交通楼A402
安康学院,云南民族大学,2018-11-22,广智院A-214
广东世纪青山镍业有限公司,昆明理工大学,2018-11-22,莲华校区冶能楼407
云南金沙矿业股份有限公司,昆明理工大学,2018-11-22,莲华校区国土资源工程学院第一会议室
沙雅县教育局,云南财经大学,2018-11-22,学生服务大厅
安康学院,昆明理工大学,2018-11-22,呈贡校区西北区教学楼B栋105
巴楚县教育局,云南师范大学文理学院,2018-11-22,招聘室（三号公寓超市旁）
杭州铭师堂教育科技发展有限公司,昆明理工大学,2018-11-21,呈贡校区西北区教学楼B栋104
杭州铭师堂教育科技发展有限公司,昆明理工大学,2018-11-21,呈贡校区西北区教学楼B栋104
丝艾产品标识（深圳）有限公司,云南农业大学,2018-11-21,5#2-11
云南云天化农资连锁有限公司,云南农业大学,2018-11-21,逸夫楼B区501（周三）
贵州紫森源集团投资有限公司,昆明理工大学,2018-11-21,莲华校区国土资源工程学院第一会议室
兴业证券股份有限公司云南分公司,云南师范大学文理学院,2018-11-21,招聘室（三号公寓超市旁）
江苏康众汽配有限公司,云南交通职业技术学院,2018-11-21,勤业楼409
江苏新晨医药有限公司,云南农业大学,2018-11-21,逸夫楼B区205(周三）
四川睿道知识产权服务有限公司云南分公司,云南财经大学,2018-11-21,学生服务大厅
云南爱的涂装服务有限公司,云南交通职业技术学院,2018-11-21,实验楼215-1
中国葛洲坝集团三峡建设工程有限公司,昆明理工大学,2018-11-21,呈贡校区西北区教学楼B栋101
深圳市金泰科环保线缆有限公司,昆明理工大学,2018-11-21,呈贡校区西北区教学楼B栋102
云南先行知识产权服务有限公司,云南民族大学,2018-11-21,广智院A-210
云南省地矿测绘院,昆明理工大学,2018-11-21,莲华校区国土资源工程学院第一会议室
四川三河职业学院,昆明理工大学,2018-11-21,场地与时间待定
六盘水市外国语学校,昆明理工大学,2018-11-21,呈贡校区西北区教学楼B栋101
兴业证券股份有限公司云南分公司,云南财经大学,2018-11-20,学生服务大厅
兴业证券股份有限公司云南分公司,云南财经大学,2018-11-20,学生服务大厅
比亚迪股份有限公司,西南林业大学,2018-11-20,新校区就业创业实训基地一楼报告厅
内蒙古伊利实业集团股份有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼B栋101
维亚生物科技（上海）有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼B栋102
平安普惠投资咨询有限公司上海第一分公司,昆明理工大学,2018-11-20,新迎校区明虹楼报告厅
江西汇仁药业股份有限公司,云南中医学院,2018-11-20,教学楼1303
蓝月亮（中国）有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼B栋104
云南智墨企业管理有限公司,云南民族大学,2018-11-20,广智院A-109
贵州宏财投资集团有限责任公司,云南财经大学,2018-11-20,学生服务大厅
沙雅县教育局,西南林业大学,2018-11-20,新校区就业创业实训基地一楼报告厅
云南中天正和会计师事务所有限公司,西南林业大学,2018-11-20,经管楼303会议室
东营方圆有色金属有限公司,昆明理工大学,2018-11-20,莲华校区冶能楼407
镇雄县人民医院,昆明医科大学,2018-11-20,呈贡校区学生会堂209室
昆明国际花卉拍卖交易中心有限公司,昆明理工大学,2018-11-20,呈贡校区西北教学楼A栋100A
上海汇得科技股份有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼B栋104
昆明迪索科技有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼A栋100A
昆明迪索科技有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼A栋100A
中建路桥集团有限公司,昆明理工大学,2018-11-20,呈贡校区西北区教学楼B栋101
科达集团股份有限公司,昆明理工大学,2018-11-20,新迎校区明虹楼报告厅
云南浙商科技有限公司,昆明理工大学,2018-11-20,场地与时间待定
青岛啤酒股份有限公司,云南财经大学,2018-11-19,学生服务大厅
卧龙控股集团有限公司,昆明理工大学,2018-11-19,呈贡校区西北区教学楼B栋101
沙雅县教育局,云南师范大学文理学院,2018-11-19,招聘室（三号公寓超市旁）
北京吉利学院,昆明理工大学,2018-11-19,呈贡校区西北区教学楼B栋102
川恒生态科技有限公司,昆明理工大学,2018-11-19,呈贡校区化工楼负一楼报告厅
民航中南机场设计研究院（广州）有限公司,昆明理工大学,2018-11-19,呈贡校区西北区教学楼B栋101
昆明市单山调味食品有限公司,云南民族大学,2018-11-19,广智院B-114
四川海底捞餐饮股份有限公司,云南民族大学,2018-11-19,广智院B-206
沙雅县教育局,云南农业大学,2018-11-19,逸夫楼C301
沙雅县教育局,云南民族大学,2018-11-19,广智院A-104
贵州川恒化工股份有限公司,昆明理工大学,2018-11-19,呈贡校区中心区教学楼100报告厅
沙雅县教育局,大理大学,2018-11-19,古城校区一教一大（J1-127）
沙雅县教育局,大理大学,2018-11-19,古城校区一教一大（J1-127）
正邦集团有限公司,云南财经大学,2018-11-19,凌媒南503
徐州大屯工程咨询有限公司,昆明理工大学,2018-11-18,呈贡校区中心区教学楼101
江苏新晨医药有限公司,昆明理工大学,2018-11-17,呈贡校区生科楼A200
贵州钢绳股份有限公司,昆明理工大学,2018-11-17,呈贡校区西北区教学楼B栋101
安季安全科技（上海）有限公司,昆明理工大学,2018-11-17,呈贡校区中心区教学楼101
浙江华友钴业股份有限公司,西南林业大学,2018-11-16,新校区就业创业实训基地一楼报告厅
巴楚县教育局,云南大学滇池学院,2018-11-16,三号学思楼409多媒体教室
深圳市前海房极客网络科技有限公司,昆明理工大学,2018-11-16,莲华校区国际学院501
贵州盘江精煤股份有限公司,昆明理工大学,2018-11-16,莲华校区国土资源工程学院第一会议室
新奥集团股份有限公司,云南农业大学,2018-11-16,逸夫楼B区404（周五）
云南顺丰速运有限公司,云南农业大学,2018-11-16,逸夫楼B区502（周五）
云南顺丰速运有限公司,西南林业大学,2018-11-16,新校区就业创业实训基地一楼报告厅
中国葛洲坝集团第六工程有限公司,昆明理工大学,2018-11-16,呈贡校区西北区教学楼B栋104
桂林激光通信研究所（中国电子科技集团公司第三十四研究所）,昆明理工大学,2018-11-16,呈贡校区西北区教学楼B栋101
