排名,电影名,链接,演员,评分,上映时间
63,无敌破坏王,https://maoyan.com/films/965,主演：约翰·C·赖利，萨拉·西尔弗曼，简·林奇,9.1,上映时间：2012-11-06
64,美丽心灵,https://maoyan.com/films/11473,主演：罗素·克洛，詹妮弗·康纳利，艾德·哈里斯,8.8,上映时间：2001-12-21(美国)
65,蝙蝠侠：黑暗骑士崛起,https://maoyan.com/films/676,主演：克里斯蒂安·贝尔，迈克尔·凯恩，加里·奥德曼,8.9,上映时间：2012-08-27
66,夜访吸血鬼,https://maoyan.com/films/6771,主演：汤姆·克鲁斯，布拉德·皮特，克尔斯滕·邓斯特,8.8,上映时间：1994-11-11(美国)
67,倩女幽魂,https://maoyan.com/films/5430,主演：张国荣，王祖贤，午马,9.2,上映时间：2011-04-30
68,哈利·波特与死亡圣器（下）,https://maoyan.com/films/916,主演：丹尼尔·雷德克里夫，鲁伯特·格林特，艾玛·沃特森,9.0,上映时间：2011-08-04
69,钢琴家,https://maoyan.com/films/4883,主演：艾德里安·布洛迪，艾米莉娅·福克斯，米哈乌·热布罗夫斯基,8.8,上映时间：2002-09-25(法国)
70,本杰明·巴顿奇事,https://maoyan.com/films/18318,主演：布拉德·皮特，凯特·布兰切特，塔拉吉·P·汉森,8.8,上映时间：2008-12-25(美国)
71,触不可及,https://maoyan.com/films/70976,主演：弗朗索瓦·克鲁塞，奥玛·希，安娜·勒尼,9.1,上映时间：2011-11-02(法国)
72,熔炉,https://maoyan.com/films/67214,主演：孔刘，郑有美，金智英,8.8,上映时间：2011-09-22(韩国)
73,初恋这件小事,https://maoyan.com/films/263,主演：马里奥·毛瑞尔，平采娜·乐维瑟派布恩，阿查拉那·阿瑞亚卫考,8.8,上映时间：2012-06-05
74,大话西游之大圣娶亲,https://maoyan.com/films/158,主演：周星驰，朱茵，莫文蔚,8.8,上映时间：2014-10-24
75,新龙门客栈,https://maoyan.com/films/94,主演：张曼玉，梁家辉，甄子丹,8.8,上映时间：2012-02-24
76,甜蜜蜜,https://maoyan.com/films/784,主演：黎明，张曼玉，曾志伟,9.2,上映时间：2015-02-13
77,素媛,https://maoyan.com/films/78538,主演：李来，薛耿求，严志媛,9.1,上映时间：2013-10-02(韩国)
78,小鞋子,https://maoyan.com/films/9426,主演：默罕默德·阿米尔·纳吉，Kamal Mirkarimi，Behzad Rafi,9.1,上映时间：1999-01-22(美国)
79,萤火之森,https://maoyan.com/films/68213,主演：内山昂辉，佐仓绫音，后藤弘树,9.0,上映时间：2011-09-17(日本)
80,时空恋旅人,https://maoyan.com/films/78312,主演：瑞秋·麦克亚当斯，多姆纳尔·格里森，比尔·奈伊,8.9,上映时间：2013-09-04(英国)
81,穿条纹睡衣的男孩,https://maoyan.com/films/38099,主演：阿沙·巴特菲尔德，维拉·法梅加，大卫·休里斯,9.0,上映时间：2008-09-12(英国)
82,窃听风暴,https://maoyan.com/films/23127,主演：乌尔里希·穆埃，塞巴斯蒂安·科赫，马蒂娜·格德克,9.0,上映时间：2006-03-23(德国)
83,借东西的小人阿莉埃蒂,https://maoyan.com/films/57212,主演：志田未来，神木隆之介，大竹忍,8.8,上映时间：2010-07-17(日本)
84,恐怖直播,https://maoyan.com/films/247791,主演：河正宇，李璟荣，李大为,8.8,上映时间：2013-07-31(韩国)
85,7号房的礼物,https://maoyan.com/films/249294,主演：柳承龙，郑镇荣，朴信惠,8.9,上映时间：2013-01-23(韩国)
86,海豚湾,https://maoyan.com/films/48465,主演：里克·奥巴瑞，路易·西霍尤斯，哈迪·琼斯,8.9,上映时间：2009-07-31(美国)
87,忠犬八公物语,https://maoyan.com/films/25310,主演：仲代达矢，春川真澄，井川比佐志,9.0,上映时间：1987-08-01(日本)
88,上帝之城,https://maoyan.com/films/1309,主演：亚历桑德雷·罗德里格斯，艾莉丝·布拉加，莱安德鲁·菲尔米诺,8.9,上映时间：2002-08-30(巴西)
89,辩护人,https://maoyan.com/films/246433,主演：宋康昊，郭度沅，吴达洙,8.8,上映时间：2013-12-18(韩国)
90,七武士,https://maoyan.com/films/3867,主演：三船敏郎，志村乔，千秋实,9.1,上映时间：1954-04-26(日本)
91,英雄本色,https://maoyan.com/films/313,主演：狄龙，张国荣，周润发,9.2,上映时间：2017-11-17
92,一一,https://maoyan.com/films/1383,主演：吴念真，金燕玲，李凯莉,8.9,上映时间：2000-09-20(法国)
93,完美的世界,https://maoyan.com/films/7971,主演：凯文·科斯特纳，克林特·伊斯特伍德，T·J·劳瑟,8.9,上映时间：1993-11-24(美国)
94,海洋,https://maoyan.com/films/168,主演：雅克·贝汉，姜文，兰斯洛特·佩林,9.0,上映时间：2011-08-12
95,爱·回家,https://maoyan.com/films/6796,主演：俞承豪，金艺芬，童孝熙,9.0,上映时间：2002-04-05(韩国)
96,黄金三镖客,https://maoyan.com/films/14124,主演：克林特·伊斯特伍德，李·范·克里夫，埃里·瓦拉赫,8.9,上映时间：1966-12-23(意大利)
97,我爱你,https://maoyan.com/films/67163,主演：宋在浩，李顺才，尹秀晶,9.0,上映时间：2011-02-17(韩国)
98,迁徙的鸟,https://maoyan.com/films/1346,主演：雅克·贝汉，Philippe Labro,9.1,上映时间：2001-12-12(法国)
99,阿飞正传,https://maoyan.com/films/11237,主演：张国荣，张曼玉，刘德华,8.8,上映时间：2018-06-25
100,龙猫,https://maoyan.com/films/123,主演：秦岚，糸井重里，岛本须美,9.2,上映时间：2018-12-14
