企业名称
上海应用技术大学2019届毕业生春季校园综合招聘会,
丝涟贸易（上海）有限公司宣讲会,
莱茵技术（上海）有限公司宣讲会,
上海科哲生化科技有限公司宣讲会,
上海吉祥航空航空股份有限公司宣讲会,
上海红点影视发展有限公司宣讲会,
花旗银行（中国）有限公司上海分行宣讲会,
上海荣审会计师事务所有限责任公司宣讲会,
广州广电计量检测（上海）有限公司宣讲会,
宁波银行股份有限公司上海分行宣讲会,
上海奥海鞋业销售有限公司宣讲会,
上海伟星新型建材有限公司宣讲会,
上海伟历信工程咨询有限公司宣讲会,
上海优宁维生物科技股份有限公司宣讲会,
上海市建设工程监理咨询有限公司宣讲会,
微境生物医药科技（上海）有限公司宣讲会,
上海用诚计算机技术有限公司宣讲会,
日月光封装测试（上海）有限公司宣讲会,
兴业银行股份有限公司宣讲会,
上海英科实业有限公司宣讲会,
维他奶（上海）有限公司宣讲会,
上海龙渤物流有限公司宣讲会,
福耀集团（上海）汽车玻璃有限公司宣讲会,
大汉三通电子商务有限公司宣讲会,
卡斯马汽车系统（上海）有限公司宣讲会,
上海美迪西生物医药股份有限公司宣讲会,
布伦泰格（上海）企业管理有限公司宣讲会,
上海啸佳建筑科技有限公司宣讲会,
上海华颉信息技术有限公司宣讲会,
上海奉贤发展（集团）有限公司宣讲会,
上海暖友实业有限公司宣讲会,
上海事成企业管理有限公司宣讲会,
上海宜家家居有限公司宣讲会,
上海吉堡教育信息咨询有限公司宣讲会,
新安乃达驱动技术（上海）股份有限公司宣讲会,
龙尚科技（上海）有限公司宣讲会,
上海苏宁易购销售有限公司宣讲会,
上海皓元医药股份有限公司宣讲会,
上海澍勋电子商务邮箱公司宣讲会,
上海永升物业管理有限公司宣讲会,
环维电子（上海）有限公司宣讲会,
凯谛思工程咨询（上海）有限公司宣讲会,
浙江省建工集团有限责任公司宣讲会,
上海贺励展览有限公司宣讲会,
世源科技工程有限公司上海分公司宣讲会,
超凡知识产权服务股份有限公司宣讲会,
上海东大化学有限公司宣讲会,
中国工商银行股份有限公司上海市分行宣讲会,
西安博彦信息技术有限公司宣讲会,
上海城投水务（集团）有限公司宣讲会,
北京自如信息科技有限公司宣讲会,
捷普科技（上海）有限公司宣讲会,
上海神开石油化工装备股份有限公司宣讲会,
中国一冶集团有限公司宣讲会,
上海帝奥建筑设计有限公司宣讲会,
【宣讲会】上海铁路局,
中民筑友科技产业有限公司宣讲会,
华域汽车系统股份有限公司宣讲会,
【宣讲会】上海众材工程检测有限公司,
上海竟跃网络科技有限公司宣讲会,
上海普利特复合材料股份有限公司宣讲会,
上海千旬公共租赁住房运营有限公司宣讲会,
【宣讲会】上海建工集团,
